name	value
L'accés als continguts d'aquest document queda condicionat a l'acceptació de les condicions d'ús establertes per la següent llicència Creative Commons: http://creativecommons.org/licenses/by-nc-nd/3.0/es/	1
Panacea Project. Work Package Reports	1
https://creativecommons.org/licenses/by-nc-nd/3.0	1
http://creativecommons.org/licenses/by/3.0/es  /	1
http://creativecommons.org/licenses/by-nc/3.0/deed.es	1
Aquest document està subjecte a una llicència Creative Commons. http://creativecommons.org/licenses/by-nc-nd/3.0/es/	1
http://creativecommons.org/licenses/by-nc-sa/3.0	1
https://creativecommons.org/licenses/by/4.0/deed.es_ES	1
http://www.elsevier.com/open-access/userlicense/1.0/	1
Copyright © The Author (s).	1
http://rightsstatements.org/vocab/CNE/1.0/	1
